,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Preco,n_vendidos_categoria
0,Pijama Cirurgico  Scrub Roupa Privativa Hospitalar - Unissex,4.0,273,0.0,TORONTO UNIFORMES PROFISSIONAIS,Poliéster,Sem gênero,N/A,"Preço justo , bem feito acabamento ok. Única sugestão é por na calça bolso cargo com zíper e incorporar a cor bege nas opções ! já comprei mais um. Muito satisfeito ! compre sem hesitar.","Tamanho bom, costuras de qualidade, porém tecido um pouco de qualidade inferior, mas vale o preço !.","Muito bom, só poderia ter os cortes na lateral da blusa para melhor conforto (mandei cortar na costureira), porém, material muito bom! comprarei mais.",69.9,1000
1,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,4.5,3034,0.18,Lupo,Algodão,Masculino,Outono/Inverno,"As cuecas são boas; porém você percebe na costura que não são originais! já experimentei duas brancas, e o mesmo acontece com as duas, quando eu subo a cueca, ela dá um estralinho como se tivesse rasgado e quando olhei, soltou um pouco da costura de lado! tem que vestir com muito cuidado! fora isso, é uma replica muito bem feita da original! aaah. Não gostei muito do elastico de cima! é muito curtinho, queria q fosse maior. Mas resumindo: cueca bem confortavel, nao dobra e nem sobe.","Pelo preço promocional, com ctz tem algum defeito de fabricação. Pq não é normal furar a cueca na imenda na primeira vez que vc usa. Infelizmente isso aconteceu comigo e não foi só com uma cueca e sim com 3 unidades. Agora eu não sei o que é pior, perder 16 reais do valor da cueca usando ela apenas algumas horas ou ficar com a cueca furada no trabalho.","Serviram muito bem, porém é nítido que o pano não é algodão, e posso confirmar a diferença pois possuo o mesmo modelo de cuecas lupo que comprei em outra ocasião e comparando ambos os panos e costuras essa diferença fica notável.
Pelo custo beneficio e mesmo sendo um material diferente, aparenta valer a pena, porém, só o tempo (e algumas lavagens rs) irá dizer se é de qualidade.",232.89,10000
2,Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,4.7,5682,0.2,Zorba,Algodão,Masculino,N/A,"O tecido é bom e são confortáveis. Só que a numeração não é precisa, visto 40 então tentei comprar a p conforme especificado no guia de tamanho. Porém, para minha sorte não tinha mais p disponível e eu comprei m. O resultado é que caiu perfeitamente. Então uma dica é comprar um tamanho maior. Antes deixar o bicho solto do quê sem ar.","Vendo comentários de outros consumidores vejo que quanto ao tamanho realmente há problemas; tenho 1. 85 e peso 88 kg, pedi o tamanho maior disponível, gg, e ficou um pouco apertado mesmo assim. Já comprei em lojas exatamente a mesma medida e dá pra notar a diferença. Mas no geral o produto é bom, só atentem para o tamanho.","Produto não é nem de longe original, tecido grosso e com pouco elastano.",199.9,50000
3,Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,4.6,1700,0.22,Mash,Algodão,Masculino,Primavera/Verão,"As cuecas são boas, porém meu marido usa g e pedir gg por causa dos outros comentários de compradores que falaram ser forma pequena. Então ficaram muito grandes!!! com certeza logo vão lacear por esse motivo. Tentar lavar a mão para evitar que fique caindo tão rápido. Recomendo a compra, porém podem pedir o tamanho correto que usam. Sem essa presepada de pedir tamanho maior. Sobre qualidade somente depois de lavar para saber ao certo!!! na próxima, pedirei o número que ele realmente usa.","E o tamanho certo, mas em baixo dela, fica muito curto, apertado demais. Aperta todos os ovos, na moral me arrependo de ter comprado. Nesse valor ainda, melhor ter comprado da lupo.","Produto não parece.
Original e veio 2 modelos completamente distintos. Costuras grosseiras, elastico parece esgarçado e com rebarbas.",229.39,10000
4,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507,0.09,Menina Linda,Jean,Feminino,Primavera/Verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",129.2,1000
5,Blusa + Calça Térmica Treino Futebol Criança Infantil Fleece,4.7,58,0.05,Roupa Zero grau,TERMICO UNISSEX,Sem gênero infantil,Outono/Inverno,"Produto ótimo , mesmo após várias lavagens não forma bolinha, não encolhe , não desbota.
Já tinha comprado ano passado e comprei novamente esse ano.
Minha filha tem 5 anos é magrinha, comprei o tamanho 8 e ficou folgadinho, vai usar bastante.
Meu filho de 10 anos comprei o 14 e também ficou bem folgadinho.
Podem comprar sem medo de errar. 😊.","Produto de boa qualidade.
Não gruda pêlos e nem faz bolinha.
Super quentinha.",Super quentinho. Só achei a gola muito aberta.,78.3,100
6,Calça Jeans Levis 511 Original Slim Fit Elastano,4.9,14,0.0,Levi's,Algodao/Elastano,Masculino,Outono/Inverno,Excelente calça! melhor calça que já comprei!.,"Ótimo produto, perfeito, tudo dentro do descrito. Muito satisfeito.","Linda, veste perfeitamente no corpo!.",339.0,100
7,Roupa Apicultor Tirar Abelha Mel Sr Premium Antiferroada,4.5,11,0.0,SR APICULTURA,Poliamida,Sem gênero,N/A,Um dos melhores macacões que já comprei em 18 anos de apicultura.,Muito bom excelente.,Ótimo produto.,460.9,50
8,Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,4.3,52,0.0,Levi's,Algodão e Elastano,Masculino,Outono/Inverno,Etiquetas e adesivos condizem com uma legítima levis mas a qualidade do jeans por ser muito fino e o corte das pernas(larga) comparando com uma calça do mesmo n°/modelo comprada em uma loja levis é comprometedor.,"Caimento bom. As etiquetas e impressões na parte interna condizem com as originais. Mas o tecido é mais fino que das levis que tenho. Mas penso que não é original pois olhei as 3 levis legítimas que tenho aqui e encontrei um código de 4 digitos na parte de trás do botão de fechamento da calça. Esse código não existe na calça que comprei aqui. Se for falsificada, paguei caro.",Tenho duvidas se é original. Jeans muito fino. Jeans da levis sempre foi grosso porem macio.,309.0,500
9,Kit 3 Calça Masculina Com Lycra Roupas Skinny Justa Premium,4.4,1326,0.0,MultiMarcas,Jeans Que Estica Muito,Masculino,Primavera/Verão,"Boa tarde! as calças totalmente diferente uma da outra. Tecidos diferente. Corte diferente sendo número 40 número pedido. Não veste bem parecendo número 44.
Lamentável! não vou trocar. Ficarei com prejuízo. Mas aprendi uma grande lição. A próxima compra comprarei na loja onde posso experimentar e reclamar na hora e exigir uma melhor qualidade de tecido!.
Esse kit não indico nem para inimigo!.
Gratidão!.","Sinceramente fiquei com receio antes de comprar o produto porém estou surpreso com a qualidade e como vestiu bem. Tenho 1,81 e peso 76kg o número 40 ficou ótimo! podem comprar sem medo, irei recomendar para outras pessoas.","Uso 44 e comprei 46, e como esperado pelos comentários, a cinza ficou perfeito, e as outras duas terei de ajustar a canela na costureira, ficaram largas nas canelas, a qualidade parece ser boa, mas nada que negative minha compra, pelo preço que paguei tá dentro do esperado, resumindo, valeu o preço, apenas fiquem atentos com o tamanho, se não quizer muito agarrado pegue um numero maior que o normal igual eu fiz, mas provavelmente terá de fazer um ajuste na barra.",180.15,10000
